city,date,fare,ride_id
Lake Jonathanshire,1/14/19 10:14,13.83,5739410000000
South Michelleport,3/4/19 18:24,30.24,5739410000000
Port Samanthamouth,2/24/19 4:29,33.44,5739410000000
Rodneyfort,2/10/19 23:22,23.44,5739410000000
South Jack,3/6/19 4:28,34.58,5739410000000
South Latoya,3/11/19 12:26,9.52,5739410000000
New Paulville,2/27/19 11:17,43.25,5739410000000
Simpsonburgh,4/26/19 0:43,35.98,5739410000000
South Karenland,1/8/19 3:28,35.09,5739410000000
North Jasmine,3/9/19 6:26,42.81,5739410000000
New Kimberlyborough,2/7/19 1:10,9.34,5739410000000
West Angela,1/12/19 1:45,26.86,5739410000000
Rodneyfort,3/2/19 18:03,44.26,5739410000000
West Angela,1/10/19 12:17,12.74,5739410000000
Roberthaven,5/4/19 14:48,25.66,5739410000000
North Jason,3/28/19 22:28,9.19,5739410000000
Williamsview,1/3/19 16:19,18.93,5739410000000
Leahton,2/26/19 18:42,8.85,5739410000000
West Anthony,3/6/19 2:27,10.02,5739410000000
New Kimberlyborough,4/25/19 22:58,29.67,5739410000000
Roberthaven,2/24/19 10:26,7.8,5739410000000
New Paulton,5/1/19 3:12,8.28,5739410000000
West Patrickchester,3/19/19 5:46,40.86,5739410000000
Deanville,4/25/19 3:29,41.52,5739410000000
West Josephberg,2/19/19 16:22,36.39,5739410000000
West Samuelburgh,5/3/19 14:33,41.12,5739410000000
West Heidi,3/14/19 23:46,24.4,5739410000000
Loganberg,4/1/19 1:06,8.23,5739410000000
Huntermouth,2/10/19 23:32,25.79,5739410000000
South Latoya,1/11/19 18:44,27.41,5739410000000
New Paulville,3/18/19 22:54,25.05,5739410000000
Grahamburgh,1/15/19 11:44,40.69,5739410000000
Port Frank,2/2/19 14:14,41.47,5739410000000
East Kaylahaven,2/28/19 4:13,25.96,5739410000000
Rodneyfort,2/3/19 0:48,44.86,5739410000000
South Karenland,2/12/19 6:52,36.01,5739410000000
West Robert,2/15/19 4:21,12.28,5739410000000
North Markport,2/18/19 8:17,38.09,5739410000000
Williamsview,3/12/19 6:47,8.35,5739410000000
Richardfort,2/24/19 8:40,13.93,5739410000000
New Kimberlyborough,3/14/19 16:47,27.9,5739410000000
Reynoldsfurt,3/25/19 14:33,34.06,5739410000000
South Karenland,5/8/19 2:31,41.33,5739410000000
Rodneyfort,4/25/19 20:57,21.7,5739410000000
Justinberg,4/23/19 8:59,14.65,5739410000000
West Josephberg,3/5/19 3:27,12.91,5739410000000
South Karenland,3/3/19 14:48,37.3,5739410000000
Leahton,5/5/19 10:34,17.05,5739410000000
Martinezhaven,3/19/19 15:31,5.3,5739410000000
North Jason,3/3/19 2:13,28.02,5739410000000
Jerryton,3/3/19 17:50,28.08,5739410000000
Lake Scottton,2/18/19 9:22,25.02,5739410000000
South Evanton,2/14/19 5:55,42.5,5739410000000
Rogerston,5/8/19 1:54,32.69,5739410000000
West Samuelburgh,5/2/19 13:55,38.77,5739410000000
West Ericstad,4/24/19 3:20,7.31,5739410000000
New Paulville,3/10/19 10:45,4.43,5739410000000
Hurleymouth,5/4/19 21:50,21.44,5739410000000
West Samuelburgh,3/3/19 3:17,25.17,5739410000000
Joneschester,3/1/19 18:48,34.71,5739410000000
